sensor;moisture;r1;r2;c1;frequency;duty_cycle;measurement_wet;stabilization_time_wet;success_wet;measurement_dry;stabilization_time_dry;success_dry;difference;stabilization_time_avg
PNNP;0;10;100000000;2e-12;25600;21;2429;500;0;2513;500;0;84;500,0
PNNP;0;10;100000000;2e-12;25600;34;2770;500;0;2791;500;0;21;500,0
PNNP;0;10;100000000;2e-12;25600;55;2958;500;0;3310;500;0;352;500,0
PNNP;0;10;100000000;2e-12;25600;89;3565;500;0;3705;500;0;140;500,0
PNNP;0;10;100000000;2e-12;25600;128;4056;358;1;4059;313;1;3;335,5
PNNP;0;10;100000000;2e-12;25600;255;4094;45;1;4095;45;1;1;45,0
PNNP;0;10;100000000;2e-12;51200;1;1670;180;1;1990;500;0;320;340,0
PNNP;0;10;100000000;2e-12;51200;2;1843;90;1;2104;500;0;261;295,0
PNNP;0;10;100000000;2e-12;51200;3;1924;135;1;2151;500;0;227;317,5
PNNP;0;10;100000000;2e-12;51200;5;2014;90;1;2204;90;1;190;90,0
